,encoding,probabilities
95,"[[ -9.7005005 -16.734058   -3.0164206 -21.176687  -14.623017  -20.679605
  -16.13908   -24.406994   -9.468935  -20.328207  -12.272817  -11.159112
  -11.436874   -6.476168  -18.623505  -12.565025   38.37249   -19.94927
   -9.208368  -14.347039   -7.4691367  -4.679196   -8.813089  -17.727913
  -11.347717   -6.198879   -3.04883   -13.367938   -6.476469   45.75584
  -13.167455  -20.279434   -5.0792694 -19.952759  -10.2426195 -19.007244
  -20.473772  -20.976603  -12.870175   -5.722741  -20.9626     30.2964
  -22.136013  -16.802143  -21.403633  -11.770352  -15.709252  -12.770276
  -20.560799   -7.8485     -9.351544  -19.518187   -4.2487473 -19.352451
  -13.129002  -11.772484   -3.9802773  -0.5127207 -14.702191  -22.984814
   -4.809846  -23.299093  -13.195256  -19.02803  ]]",[[1.]]
96,"[[ -8.51008    -14.383011    -2.633865   -18.440163   -12.734353
  -18.039474   -14.027617   -21.198057    -8.164667   -17.75652
  -10.502157    -9.791775    -9.890655    -5.703644   -16.238451
  -10.804383    33.22525    -17.364685    -8.140276   -12.552986
   -6.6093335   -4.137175    -7.620835   -15.463056    -9.958306
   -5.5044875   -2.69987    -11.481643    -5.715671    39.62771
  -11.297055   -17.714882    -4.6920094  -17.41094     -8.784845
  -16.510393   -17.858992   -17.909975   -11.289341    -4.990466
  -18.2651      26.34923    -19.274473   -14.718887   -18.637686
  -10.301585   -13.740034   -11.128947   -17.962091    -6.9275613
   -8.130606   -17.021738    -3.9502268  -16.877455   -11.505336
  -10.345713    -3.6163123   -0.47310105 -12.797861   -19.94463
   -4.3420334  -20.283829   -11.549731   -16.614328  ]]",[[1.]]
97,"[[-11.614763  -20.183537   -3.634619  -25.307024  -17.542564  -24.729206
  -19.250795  -29.112085  -11.556515  -24.269186  -14.868203  -13.390204
  -13.794088   -7.7616005 -22.241215  -15.139312   45.852142  -23.836714
  -10.976076  -17.070944   -8.909721   -5.5400457 -10.407756  -21.207655
  -13.553173   -7.3722086  -3.6698327 -16.143127   -7.811761   54.70801
  -15.887558  -24.20501    -5.9179316 -23.869537  -12.375275  -22.651054
  -24.439686  -25.421356  -15.421136   -6.9265213 -25.085852   36.138584
  -26.444714  -19.993856  -25.578865  -14.117136  -18.671179  -15.139447
  -24.518396   -9.392066  -11.189733  -23.309387   -4.890848  -23.055494
  -15.693156  -14.0758     -4.6250916  -0.6056408 -17.465199  -27.53521
   -5.6118236 -27.857466  -15.764461  -22.730299 ]]",[[1.]]
98,"[[ -9.085651  -15.377732   -2.8130052 -19.65581   -13.5838    -19.224985
  -14.939738  -22.633707   -8.726227  -18.908468  -11.2396345 -10.441951
  -10.575102   -6.097414  -17.3083    -11.556876   35.435093  -18.517324
   -8.660615  -13.362544   -7.0444174  -4.3965836  -8.111493  -16.488462
  -10.612578   -5.856755   -2.8803518 -12.285132   -6.1054053  42.270016
  -12.081189  -18.87093    -4.957568  -18.562225   -9.395135  -17.583605
  -19.031092  -19.175892  -12.0268545  -5.3301287 -19.481134   28.09012
  -20.556814  -15.687021  -19.865604  -10.985833  -14.633372  -11.8351555
  -19.13164    -7.3803034  -8.673455  -18.144094   -4.163743  -17.994316
  -12.270716  -11.029661   -3.8279283  -0.501205  -13.633137  -21.277178
   -4.589965  -21.62664   -12.306342  -17.69455  ]]",[[1.]]
99,"[[-11.272455   -19.777237    -3.5267606  -24.593184   -17.046133
  -24.025091   -18.744831   -28.268965   -11.291971   -23.593807
  -14.542639   -13.005524   -13.518673    -7.5486712  -21.605715
  -14.835138    44.750683   -23.169437   -10.654437   -16.613777
   -8.6830015   -5.3626523  -10.097192   -20.59575    -13.163888
   -7.200435    -3.5623076  -15.811035    -7.581177    53.384445
  -15.537856   -23.53559     -5.7356043  -23.196009   -12.118054
  -22.0568     -23.765846   -24.85569    -14.958299    -6.7221
  -24.376345    35.293575   -25.708023   -19.416214   -24.85574
  -13.709403   -18.105806   -14.725425   -23.824203    -9.152205
  -10.858608   -22.641323    -4.7213798  -22.41582    -15.254305
  -13.67475     -4.4795218   -0.58976465 -16.988056   -26.764738
   -5.4380784  -27.0852     -15.322073   -22.071442  ]]",[[1.]]
100,"[[-20.705074   19.519669  -12.717033  -70.54961   -40.19274   -67.28304
  -45.92316   -62.254986   12.814566  -64.85162    19.914936  -14.11163
   25.712252   -2.9119186 -65.1289     16.179827   42.871956  -71.35806
  -10.174297  -28.65629     0.5285647  -7.4804807 -47.9314    -55.866093
  -35.36181    29.718279  -15.642286   20.9868     -0.462984   55.094505
   -2.8894138 -63.425182   20.766508  -62.79252    19.775988  -45.4815
  -70.14058    11.254625  -43.100006  -11.24774   -67.13472    -6.724451
  -68.98415   -65.75615   -69.02185   -27.367516  -52.868114  -59.500156
  -64.774536   -4.181503  -33.919014  -64.06342     5.9519763 -12.508903
  -38.66373   -13.354731   -6.15663    -1.043801  -55.665314  -74.80341
  -10.981351  -70.54717   -29.270992  -66.07816  ]]",[[0.9357848]]
101,"[[ -8.232154  -13.643152   -2.550633  -17.657028  -12.226189  -17.315176
  -13.354778  -20.369844   -7.794417  -17.022264   -9.951662   -9.469809
   -9.452252   -5.5502195 -15.580674  -10.2584715  31.637661  -16.628023
   -7.882955  -12.054965   -6.4244313  -4.007819   -7.250153  -14.850955
   -9.60236    -5.362945   -2.6318617 -10.909945   -5.588342   37.75904
  -10.711016  -16.995974   -4.7073092 -16.712927   -8.334383  -15.741714
  -17.108377  -16.963957  -10.904717   -4.8181434 -17.52846    25.181528
  -18.472078  -14.17536   -17.861004   -9.932664  -13.228523  -10.620619
  -17.235004   -6.717909   -7.800914  -16.33143    -3.9784923 -16.196207
  -11.076917  -10.005625   -3.5476987  -0.4712398 -12.229782  -19.071388
   -4.2390523 -19.427727  -11.112133  -15.945501 ]]",[[1.]]
102,"[[ -7.1152663  -10.195601    -2.336631   -15.654659   -10.65146
  -15.357061   -11.577196   -17.78251     -5.8258567  -15.040398
   -7.3116035   -7.9889026   -6.8303328   -4.5933723  -13.913779
   -7.6467      25.88915    -14.849398    -6.6399865  -10.28596
   -5.2145586   -3.3967743   -6.8284874  -13.14583     -8.513893
   -3.7006578   -2.4571617   -8.048059    -4.5940247   31.003654
   -8.404809   -14.9971075   -3.5340223  -14.756371    -6.059645
  -13.521183   -15.18891    -12.966104    -9.747299    -4.114162
  -15.500711    19.766104   -16.289146   -12.826394   -15.801224
   -8.595229   -11.850748    -9.794045   -15.267696    -5.562362
   -6.9854655  -14.510812    -3.2778225  -13.251924    -9.783532
   -8.383624    -3.0871825   -0.44033945 -10.982051   -16.890306
   -3.7382054  -17.059862    -9.563121   -14.248561  ]]",[[0.99999905]]
103,"[[-12.307628  -21.703804   -3.86436   -26.90449   -18.654299  -26.270477
  -20.499668  -30.929907  -12.419617  -25.776701  -16.008764  -14.201174
  -14.808161   -8.22323   -23.622477  -16.273611   48.98011   -25.339687
  -11.599134  -18.128124   -9.436335   -5.8401    -11.047415  -22.527716
  -14.36633    -7.81247    -3.8796382 -17.360203   -8.278448   58.438675
  -17.07071   -25.706953   -6.136651  -25.35794   -13.309643  -24.118456
  -25.973156  -27.35943   -16.342442   -7.3754673 -26.668633   38.557648
  -28.109816  -21.186924  -27.193533  -14.98576   -19.770325  -16.078522
  -26.02595    -9.958668  -11.895337  -24.753714   -5.0348473 -24.48968
  -16.648884  -14.917822   -4.813054   -0.631432  -18.557453  -29.317114
   -5.8563695 -29.628723  -16.72906   -24.133623 ]]",[[1.]]
104,"[[-11.988193  -21.167944   -3.7574036 -26.203741  -18.16771   -25.587889
  -19.986765  -30.10836   -12.101572  -25.116472  -15.601402  -13.832667
  -14.443521   -8.01289   -23.00506   -15.871978   47.752052  -24.685207
  -11.302401  -17.663134   -9.204943   -5.6855936 -10.758937  -21.9328
  -13.993737   -7.6217527  -3.7771618 -16.931543   -8.051927   56.965874
  -16.638979  -25.046421   -5.983206  -24.699312  -12.976349  -23.508947
  -25.306969  -26.660622  -15.908643   -7.1724463 -25.968447   37.602776
  -27.382545  -20.63576   -26.484674  -14.58985   -19.246586  -15.66982
  -25.35473    -9.711164  -11.578385  -24.105938   -4.906377  -23.85721
  -16.219782  -14.533902   -4.6977196  -0.6188645 -18.082655  -28.549137
   -5.71528   -28.861378  -16.301117  -23.49883  ]]",[[1.]]
105,"[[ -9.871315  -17.322948   -3.0769422 -21.625626  -14.928049  -21.099586
  -16.51174   -24.876226   -9.795703  -20.747763  -12.702032  -11.3736105
  -11.823217   -6.595924  -18.991007  -12.996917   39.409077  -20.361786
   -9.355605  -14.646019   -7.616797   -4.7359877  -8.970295  -18.084738
  -11.556752   -6.330858   -3.1007094 -13.8295355  -6.59759    46.99657
  -13.601889  -20.697155   -5.0921144 -20.364056  -10.59879   -19.442074
  -20.908287  -21.700033  -13.101493   -5.8522468 -21.40309    31.10688
  -22.598015  -17.106846  -21.856775  -12.004814  -15.966995  -13.028226
  -20.960264   -8.012023   -9.531065  -19.903524   -4.227459  -19.741213
  -13.389492  -11.992043   -3.9948692  -0.5195652 -15.007616  -23.49523
   -4.837934  -23.80392   -13.455113  -19.39749  ]]",[[1.]]
106,"[[ -9.909015   -17.167336    -3.0831447  -21.649069   -14.950028
  -21.135746   -16.504803   -24.953747    -9.714764   -20.77382
  -12.594997   -11.39871    -11.72674     -6.614158   -19.033728
  -12.890395    39.287434   -20.394705    -9.395543   -14.661717
   -7.6269293   -4.769629    -9.006183   -18.120731   -11.590592
   -6.328509    -3.1116357  -13.717551    -6.6150928   46.84708
  -13.50777    -20.724804    -5.1464877  -20.393034   -10.508067
  -19.43847    -20.927158   -21.534142   -13.143484    -5.8520203
  -21.42971     31.003748   -22.631609   -17.161806   -21.881372
  -12.026485   -16.037823   -13.047031   -21.00968     -8.016246
   -9.560142   -19.94987     -4.295813   -19.779215   -13.417608
  -12.023054    -4.0399194   -0.52006125 -15.027905   -23.510252
   -4.8853745  -23.821655   -13.480692   -19.445925  ]]",[[1.]]
107,"[[ -5.2889647   -6.087287    -1.5982665  -10.688265    -7.359526
  -10.629156    -7.7638884  -12.433358    -3.55237    -10.459438
   -4.3857274   -6.027361    -4.415876    -3.5629172   -9.599727
   -4.6202087   16.943783   -10.049938    -5.328798    -7.400103
   -4.0750327   -2.841001    -4.5149655   -9.134309    -6.148402
   -3.3556914   -1.7716265   -4.8378544   -3.5961409   20.266506
   -4.9244995  -10.444354    -4.056229   -10.257349    -3.7237751
   -9.164115   -10.3914585   -7.3882294   -7.0533447   -2.895039
  -10.661836    13.789697   -11.135809    -9.111087   -10.794704
   -6.1907573   -8.670378    -6.5279117  -10.737164    -4.210605
   -4.737382   -10.07733     -3.7267523   -9.912428    -6.9573503
   -6.421944    -2.9703927   -0.39302385  -7.3992815  -11.179492
   -3.4014194  -11.630846    -6.9705744   -9.924331  ]]",[[0.9998945]]
108,"[[-11.993189   -21.270279    -3.7640107  -26.284462   -18.204054
  -25.648815   -20.047297   -30.244326   -12.118299   -25.179016
  -15.6657715  -13.838765   -14.498197    -8.014799   -23.072023
  -15.948864    47.973106   -24.757494   -11.301478   -17.726524
   -9.206672    -5.6920977  -10.8327675  -21.995844   -14.013928
   -7.625408    -3.771807   -17.004969    -8.05169     57.228672
  -16.716953   -25.111874    -5.9638886  -24.759895   -13.037094
  -23.598835   -25.37873    -26.795233   -15.927508    -7.181483
  -26.043068    37.76382    -27.469364   -20.695744   -26.568296
  -14.613835   -19.314215   -15.737391   -25.421932    -9.711109
  -11.608014   -24.178009    -4.8927937  -23.940168   -16.251717
  -14.548136    -4.6893516   -0.61367315 -18.167393   -28.646551
   -5.7103086  -28.949276   -16.333536   -23.560163  ]]",[[1.]]
109,"[[ -32.088673     55.08845     -22.40196    -119.68086     -65.89251
  -113.66143     -75.76559     -99.90017      34.716873   -109.44009
    51.46059     -17.519148     61.742928      0.15375954 -111.45063
    44.454124     48.330154   -122.33399     -11.849083    -43.551365
     8.009496    -11.045514    -86.69501     -93.90958     -59.535645
    64.294304    -28.447344     54.763813      5.042762     65.36317
     7.2798467  -106.636894     44.960884   -105.66431      49.085487
   -72.06745    -119.61609      43.45566     -73.64212     -16.970854
  -113.17316     -41.537605   -115.60631    -114.998566   -116.38898
   -43.19667     -90.10768    -105.506966   -109.00679      -0.84461206
   -58.28097    -108.42898      14.9002695    -7.002769    -64.33844
   -15.718393     -9.098306     -1.5526547   -96.20262    -125.6917
   -17.77035    -117.60386     -46.058067   -113.06477   ]]",[[6.6987653e-13]]
110,"[[ -32.576862     56.10103     -22.758263   -121.61253     -66.939896
  -115.4869      -76.98033    -101.49091      35.360714   -111.20063
    52.387093    -17.754894     62.845062      0.20044991 -113.25225
    45.268734     48.98978    -124.31635     -12.001448    -44.22384
     8.196853    -11.2106      -88.14024     -95.416534    -60.482643
    65.42062     -28.91031      55.754856      5.1745768    66.27702
     7.4635363  -108.34875      45.754078   -107.36264      49.961624
   -73.202415   -121.5512       44.288124    -74.82195     -17.222858
  -114.99542     -42.36309    -117.4642     -116.87044    -118.26474
   -43.866913    -91.5671     -107.243515   -110.75689      -0.80073965
   -59.22526    -110.17499      15.177266     -7.044308    -65.35926
   -15.926072     -9.235066     -1.5733203   -97.773834   -127.71127
   -18.046017   -119.49321     -46.774067   -114.8904    ]]",[[3.5487485e-13]]
111,"[[ -27.560724     46.2748      -19.12701    -102.10121     -56.309937
   -96.996864    -64.68502     -85.439156     29.171385    -93.41341
    43.31188     -15.23501      52.06898      -0.14785004  -95.10069
    37.335655     41.946003   -104.29761     -10.362113    -37.36385
     6.500983     -9.538913    -73.76126     -80.15339     -50.84883
    54.325775    -24.240019     46.082653      3.987975     56.576767
     5.831552    -91.05629      37.90014     -90.150215     41.331593
   -61.704163   -102.011215     36.3636      -62.86544     -14.58616
   -96.57222     -34.463505    -98.64808     -98.03091     -99.2904
   -37.02052     -76.89155     -89.83468     -93.04692      -1.0658435
   -49.64976     -92.50465      12.429325     -6.4560976   -54.996033
   -13.6928005    -7.8571353    -1.3584049   -81.98471    -107.26152
   -15.27352    -100.37557     -39.45857     -96.46358   ]]",[[1.1387347e-10]]
112,"[[-20.8106      19.50328    -12.77189    -70.878395   -40.390526
  -67.59903    -46.148148   -62.574047    12.810333   -65.15241
   19.919914   -14.202396    25.745       -2.9442806  -65.42475
   16.17305     43.19577    -71.686554   -10.241778   -28.81101
    0.5058027   -7.5192356  -48.133007   -56.13052    -35.52559
   29.795134   -15.703434    20.99097     -0.48552614  55.494305
   -2.9653008  -63.7206      20.830137   -63.089737    19.794365
  -45.715626   -70.465034    11.176833   -43.293938   -11.30944
  -67.45165     -6.613754   -69.31529    -66.042244   -69.348755
  -27.506374   -53.11175    -59.755814   -65.07924     -4.221718
  -34.07587    -64.36293      5.9681287  -12.633887   -38.84514
  -13.445849    -6.185084    -1.0479244  -55.916893   -75.16133
  -11.029154   -70.88671    -29.420942   -66.378746  ]]",[[0.9455022]]
113,"[[-21.32915    29.325052  -13.884209  -75.22053   -42.1384    -71.71207
  -47.991386  -64.813614   18.613703  -69.053604   27.937332  -13.171726
   34.11729    -1.6300054 -69.92687    23.757536   36.332623  -76.4995
   -9.41456   -28.983475    2.7621505  -7.7242227 -53.012806  -59.401203
  -37.74529    36.202595  -17.417973   29.658722    1.2019731  47.95406
    1.8290714 -67.42068    24.519896  -66.75563    26.915667  -46.60489
  -74.99712    21.645954  -46.45979   -11.321389  -71.430984  -17.920452
  -73.07953   -71.61443   -73.3759    -28.284464  -56.982994  -64.950096
  -69.001495   -2.5520203 -36.42093   -68.352165    7.0186563  -8.81521
  -40.967182  -12.25823    -6.597002   -1.1311107 -59.920647  -79.19484
  -11.894149  -74.49047   -30.187157  -70.96731  ]]",[[5.3322143e-05]]
114,"[[ -27.541945     46.20689     -19.1098     -102.01318     -56.2643
   -96.91465     -64.632576    -85.3743       29.129623    -93.33349
    43.25243     -15.231031     52.000603     -0.15515384  -95.01666
    37.281803     41.941376   -104.206726    -10.360443    -37.33857
     6.4852004    -9.53252     -73.689896    -80.08583     -50.806614
    54.25964     -24.216852     46.01842       3.9764888    56.56453
     5.811199    -90.9785       37.85407     -90.07469      41.276802
   -61.6573     -101.92259      36.30016     -62.810852    -14.577184
   -96.49009     -34.395023    -98.56544     -97.941956    -99.2069
   -36.99352     -76.82533     -89.75055     -92.968185     -1.0730623
   -49.606785    -92.42595      12.411582     -6.469763    -54.95113
   -13.69044      -7.852146     -1.3572907   -81.91156    -107.17111
   -15.261376   -100.292725    -39.42961     -96.3791    ]]",[[1.2121398e-10]]
115,"[[ -32.57215      56.07095     -22.75345    -121.58309     -66.925865
  -115.46007     -76.96295    -101.46874      35.341145   -111.17431
    52.36116     -17.755875     62.816174      0.19490036 -113.22408
    45.244762     48.99391    -124.285904    -12.002432    -44.216663
     8.188506    -11.208584    -88.11318     -95.39443     -60.469597
    65.39444     -28.902487     55.726845      5.1673245    66.279945
     7.452306   -108.32274      45.73713    -107.33771      49.938553
   -73.187744   -121.52164      44.25851     -74.803955    -17.221695
  -114.96838     -42.3341     -117.437225   -116.83994    -118.2365
   -43.859413    -91.543465   -107.21294    -110.73106      -0.80674654
   -59.210606   -110.1489       15.17104      -7.0510163   -65.345436
   -15.927158     -9.232544     -1.572918    -97.74773    -127.68198
   -18.041592   -119.465935    -46.765755   -114.86207   ]]",[[3.6658906e-13]]
116,"[[ -32.52785      55.98157     -22.721333   -121.40989     -66.831566
  -115.29625     -76.854195   -101.32583      35.28445    -111.01642
    52.27957     -17.73405      62.718246      0.19199711 -113.06215
    45.173443     48.933857   -124.1081      -11.987995    -44.156277
     8.172122    -11.193545    -87.98408     -95.259094    -60.384525
    65.29435     -28.861164     55.639263      5.156573     66.19653
     7.4366508  -108.16889      45.666363   -107.185905     49.861042
   -73.08551    -121.34789      44.18547     -74.698364    -17.1986
  -114.80489     -42.260902   -117.27065    -116.6717     -118.0685
   -43.79897     -91.41299    -107.05759    -110.57406      -0.80947584
   -59.126358   -109.99263      15.146373     -7.046514    -65.25357
   -15.908448     -9.220424     -1.5710188   -97.607254   -127.50033
   -18.016773   -119.29681     -46.70087    -114.69848   ]]",[[3.8718564e-13]]
117,"[[ -8.051266   -13.342027    -2.5340962  -17.39851    -12.025753
  -17.059536   -13.119176   -20.013481    -7.6392775  -16.742975
   -9.70221     -9.239141    -9.1772585   -5.3991814  -15.358473
  -10.020001    30.987179   -16.408726    -7.638169   -11.781803
   -6.234079    -3.844656    -7.184944   -14.631081    -9.432596
   -5.0704827   -2.6066642  -10.657322    -5.444677    37.00641
  -10.532554   -16.722181    -4.3597937  -16.441986    -8.1021185
  -15.455766   -16.854298   -16.679062   -10.720185    -4.7268567
  -17.267275    24.43572    -18.196133   -13.955294   -17.600796
   -9.735235   -12.970651   -10.528175   -16.952856    -6.5595922
   -7.706941   -16.084745    -3.698464   -15.694918   -10.901594
   -9.727595    -3.3706565   -0.45954964 -12.072268   -18.858282
   -4.0566473  -19.124233   -10.863045   -15.715055  ]]",[[1.]]
118,"[[ -5.255262   -5.486948   -1.5813246 -10.4914665  -7.223195  -10.468416
   -7.554819  -12.30646    -3.207509  -10.284076   -3.9736507  -5.9646907
   -4.0265536  -3.5279627  -9.467209   -4.1823063  16.152063   -9.8820715
   -5.3185015  -7.2701573  -3.9983506  -2.8757691  -4.4948077  -9.002389
   -6.0847964  -3.2681508  -1.763834   -4.3650446  -3.5608907  19.322397
   -4.503856  -10.272719   -4.1705213 -10.097132   -3.3769426  -8.923062
  -10.202309   -6.6656175  -7.0175004  -2.8402312 -10.487429   13.1840925
  -10.933863   -9.052967  -10.605909   -6.1097393  -8.671713   -6.41637
  -10.604279   -4.1308956  -4.6799736  -9.942279   -3.8936412  -9.776689
   -6.8633456  -6.371585   -3.0629685  -0.4020639  -7.264288  -10.924319
   -3.479859  -11.398969   -6.8785524  -9.797192 ]]",[[0.99983895]]
119,"[[-10.417273   -18.272615    -3.2489994  -22.813465   -15.761811
  -22.261745   -17.411222   -26.29035    -10.344544   -21.87413
  -13.419662   -11.994493   -12.466992    -6.953891   -20.043001
  -13.715009    41.565895   -21.489058    -9.850338   -15.4366455
   -8.016054    -4.9903526   -9.47737    -19.085617   -12.1844425
   -6.6499963   -3.2654827  -14.6058655   -6.95883     49.56715
  -14.366214   -21.822771    -5.3160543  -21.480436   -11.186542
  -20.505947   -22.045607   -22.950087   -13.819876    -6.1793404
  -22.583794    32.769314   -23.849907   -18.034838   -23.058569
  -12.665062   -16.844048   -13.728415   -22.111681    -8.434962
  -10.072553   -21.00478     -4.4089937  -20.830303   -14.118795
  -12.640071    -4.1811414   -0.53989303 -15.823546   -24.811245
   -5.0671644  -25.115305   -14.183702   -20.470146  ]]",[[1.]]
120,"[[ -9.740195  -17.188992   -3.0321932 -21.371683  -14.740824  -20.845499
  -16.334745  -24.595055   -9.698334  -20.498526  -12.595354  -11.217587
  -11.725024   -6.5091667 -18.76034   -12.898122   39.04906   -20.122995
   -9.226402  -14.485989   -7.5236716  -4.675063   -8.8878975 -17.864748
  -11.4084635  -6.2560687  -3.0535057 -13.722846   -6.4969454  46.557926
  -13.489919  -20.451603   -5.010555  -20.112488  -10.513321  -19.235308
  -20.664476  -21.517824  -12.922451   -5.770852  -21.14291    30.818844
  -22.33466   -16.902079  -21.603529  -11.847698  -15.768421  -12.880492
  -20.713203   -7.9086304  -9.415378  -19.665607   -4.1612005 -19.51732
  -13.222692  -11.838437   -3.9361675  -0.5139661 -14.844052  -23.220757
   -4.7682734 -23.529196  -13.286249  -19.158966 ]]",[[1.]]
121,"[[-11.342015   -19.901983    -3.5507588  -24.735044   -17.149788
  -24.167583   -18.850386   -28.435867   -11.374379   -23.732199
  -14.637045   -13.088986   -13.608802    -7.5987544  -21.734266
  -14.927941    45.01335    -23.30336    -10.718593   -16.712687
   -8.738837    -5.3949323  -10.147436   -20.722584   -13.2440605
   -7.245533    -3.5857134  -15.912423    -7.6372094   53.702633
  -15.632082   -23.674421    -5.7754188  -23.334091   -12.194284
  -22.182283   -23.904778   -25.015665   -15.055505    -6.771188
  -24.52432     35.502632   -25.85951    -19.529533   -25.00155
  -13.797875   -18.209757   -14.802599   -23.963827    -9.211899
  -10.924993   -22.775234    -4.751465   -22.54876    -15.348368
  -13.760892    -4.5026736   -0.59368837 -17.079952   -26.924734
   -5.46623    -27.245775   -15.414458   -22.205637  ]]",[[1.]]
122,"[[ -7.1769414  -7.9848146  -2.628663  -16.873297  -11.132681  -16.487858
  -12.16529   -18.353056   -4.5162354 -16.081795   -5.4404974  -7.6530113
   -4.7795577  -4.173954  -15.10988    -5.927357   24.480244  -16.21439
   -6.284923  -10.28411    -4.5629015  -3.287432   -8.110456  -14.034672
   -9.063696   -1.9064854  -2.8577979  -6.046017   -4.079954   29.504154
   -7.4434366 -15.981334   -2.158096  -15.740514   -4.3585343 -13.858794
  -16.455402  -10.779257  -10.496118   -4.1124334 -16.592491   16.888157
  -17.363262  -14.192536  -16.944956   -8.768287  -12.750237  -11.257366
  -16.290981   -5.0934763  -7.643713  -15.596338   -2.6177979 -12.111676
  -10.326435   -7.9377213  -2.9794395  -0.448888  -12.113059  -18.172619
   -3.773323  -18.100142   -9.6667595 -15.450843 ]]",[[0.9999976]]
123,"[[-11.874358  -20.981436   -3.7207043 -25.989634  -17.997568  -25.365414
  -19.82297   -29.913172  -11.947284  -24.898073  -15.456575  -13.689428
  -14.306064   -7.935077  -22.818504  -15.738576   47.396202  -24.481432
  -11.190559  -17.532997   -9.114509   -5.641854  -10.717796  -21.752098
  -13.867019   -7.5447135  -3.7307808 -16.780823   -7.959925   56.536762
  -16.495846  -24.835953   -5.9260116 -24.483217  -12.86099   -23.33199
  -25.098764  -26.42136   -15.752916   -7.094411  -25.750433   37.31973
  -27.162441  -20.4822    -26.271269  -14.451593  -19.109993  -15.562104
  -25.149446   -9.608871  -11.482258  -23.912296   -4.872065  -23.682644
  -16.078903  -14.39714    -4.663544   -0.6107549 -17.96241   -28.312967
   -5.666714  -28.624298  -16.151188  -23.301514 ]]",[[1.]]
124,"[[ -9.723146  -16.811405   -3.0249488 -21.093302  -14.60734   -20.629608
  -16.053263  -24.289175   -9.562106  -20.27757   -12.294173  -11.195471
  -11.547134   -6.541627  -18.560493  -12.62345    38.30345   -19.873074
   -9.233595  -14.332049   -7.5513673  -4.660482   -8.671816  -17.689627
  -11.354794   -6.2832274  -3.0808969 -13.440211   -6.5525293  45.69356
  -13.1866    -20.238722   -5.176918  -19.914526  -10.27907   -18.907066
  -20.41428   -21.012745  -12.874914   -5.742151  -20.91095    30.326347
  -22.071493  -16.763237  -21.324028  -11.786379  -15.614646  -12.668117
  -20.496881   -7.9243283  -9.307009  -19.452932   -4.3008    -19.291157
  -13.147574  -11.80496    -3.9871387  -0.5266132 -14.610921  -22.893614
   -4.808901  -23.233034  -13.191357  -18.964699 ]]",[[1.]]
125,"[[-10.0697975  -17.636255    -3.1350513  -21.982368   -15.198319
  -21.463194   -16.775774   -25.289307    -9.991215   -21.103765
  -12.921555   -11.600492   -12.056512    -6.748548   -19.316227
  -13.237054    40.06015    -20.708698    -9.5401125  -14.898051
   -7.7902155   -4.8143015   -9.072526   -18.402527   -11.772206
   -6.4677033   -3.1753612  -14.087007    -6.7497497   47.779728
  -13.837056   -21.057276    -5.2182875  -20.72533    -10.788417
  -19.747934   -21.26589    -22.078444   -13.34921     -5.9656024
  -21.775763    31.647547   -22.987974   -17.407242   -22.218967
  -12.231194   -16.219717   -13.2147045  -21.319057    -8.189592
   -9.687985   -20.244066    -4.318146   -20.07652    -13.652951
  -12.229989    -4.0760674   -0.53694737 -15.242477   -23.88742
   -4.92961    -24.209501   -13.703992   -19.726227  ]]",[[1.]]
126,"[[-10.919879  -18.920815   -3.4141471 -23.719393  -16.45377   -23.197098
  -18.037592  -27.268356  -10.842061  -22.776962  -13.900235  -12.596621
  -12.970166   -7.3236184 -20.857992  -14.195742   42.980473  -22.345346
  -10.342755  -16.042501   -8.424064   -5.2103004  -9.717745  -19.890156
  -12.74392    -6.987313   -3.4668021 -15.130614   -7.3673644  51.284153
  -14.867175  -22.725412   -5.6716304 -22.395952  -11.590006  -21.22881
  -22.927864  -23.764803  -14.488833   -6.4985404 -23.523302   33.939583
  -24.796816  -18.775314  -23.974253  -13.261287  -17.512636  -14.195004
  -23.008379   -8.871189  -10.479213  -21.85751    -4.686464  -21.628973
  -14.75208   -13.24172    -4.392467   -0.5785329 -16.368887  -25.786543
   -5.3222117 -26.11875   -14.811505  -21.321024 ]]",[[1.]]
127,"[[-10.991009  -19.40261    -3.4383583 -24.08309   -16.660315  -23.50483
  -18.3834    -27.723122  -11.026131  -23.084124  -14.267473  -12.669759
  -13.229533   -7.3422356 -21.149475  -14.555586   43.935062  -22.682705
  -10.378723  -16.274336   -8.449838   -5.2429347  -9.966361  -20.147642
  -12.85117    -7.0079627  -3.4504023 -15.508243   -7.3589334  52.39736
  -15.251447  -23.021519   -5.545194  -22.679178  -11.88468   -21.639496
  -23.263786  -24.396965  -14.591808   -6.548441  -23.847404   34.61156
  -25.17094   -18.996307  -24.339859  -13.376073  -17.73668   -14.459342
  -23.322285   -8.899565  -10.634078  -22.162975   -4.5744224 -21.960789
  -14.894944  -13.335054   -4.354505   -0.5696969 -16.673395  -26.217659
   -5.292667  -26.51912   -14.972384  -21.600655 ]]",[[1.]]
